deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,best_result_rank,best_reject_reason,prior_review_reason,error_message,raw_payload_persisted
graph_song:song|crystal waters|gypsy woman she s homeless:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|crystal waters|gypsy woman she s homeless,graph_song,song,Crystal Waters,Gypsy Woman (She's Homeless),1991,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_no_auto_match,,false
graph_song:song|curve|coast is clear:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|curve|coast is clear,graph_song,song,Curve,Coast Is Clear,1991,us,direct_song_search_no_auto_match,10,68,3,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|curve|horror head:direct_song_search_no_results,apple_music_direct_song_hardening_pass_v1,song|curve|horror head,graph_song,song,Curve,Horror Head,1992,us,direct_song_search_no_results,0,,,,apple_song_search_no_results,,false
graph_song:song|d o a|fucked up ronnie:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|d o a|fucked up ronnie,graph_song,song,D.O.A.,Fucked Up Ronnie,1981,us,direct_song_search_no_auto_match,10,52,1,title_not_matched,apple_song_search_needs_review_version_risk,,false
graph_song:song|daily flash|jack of diamonds:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|daily flash|jack of diamonds,graph_song,song,The Daily Flash,Jack of Diamonds,1966,us,direct_song_search_no_auto_match,10,12,1,title_not_matched;artist_not_matched,apple_song_search_needs_review_version_risk,,false
graph_song:song|dakhabrakha|sho z pod duba:direct_song_search_no_results,apple_music_direct_song_hardening_pass_v1,song|dakhabrakha|sho z pod duba,graph_song,song,DakhaBrakha,Sho Z-Pod Duba,2007,us,direct_song_search_no_results,0,,,,apple_song_search_no_results,,false
graph_song:song|david bowie and bing crosby|peace on earth little drummer boy:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|david bowie and bing crosby|peace on earth little drummer boy,graph_song,song,David Bowie and Bing Crosby,Peace on Earth/Little Drummer Boy,1982,us,direct_song_search_no_auto_match,10,70,1,artist_not_matched,apple_song_search_needs_review_version_risk,,false
graph_song:song|dbx|losing control:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|dbx|losing control,graph_song,song,DBX,Losing Control,1994,us,direct_song_search_no_auto_match,10,67,2,,apple_song_search_needs_review_version_risk,,false
graph_song:song|dean martin|sway:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|dean martin|sway,graph_song,song,Dean Martin,Sway,1954,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_no_auto_match,,false
graph_song:song|deitrick haddon|he s able:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|deitrick haddon|he s able,graph_song,song,Deitrick Haddon,He's Able,2011,us,direct_song_search_no_auto_match,10,92,1,compatible_artist_without_tight_year,apple_song_search_no_auto_match,,false
graph_song:song|dem franchize boyz|i think they like me:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|dem franchize boyz|i think they like me,graph_song,song,Dem Franchize Boyz,I Think They Like Me,2005,us,direct_song_search_no_auto_match,10,68,10,,apple_song_search_needs_review_version_risk,,false
graph_song:song|destiny s child|independent women part i:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|destiny s child|independent women part i,graph_song,song,Destiny's Child,Independent Women Part I,2000,us,direct_song_search_no_auto_match,10,52,1,title_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|dj kool|let me clear my throat:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|dj kool|let me clear my throat,graph_song,song,DJ Kool,Let Me Clear My Throat,1996,us,direct_song_search_no_auto_match,10,62,3,,apple_song_search_no_auto_match,,false
graph_song:song|dna|not moving:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|dna|not moving,graph_song,song,DNA,Not Moving,1978,us,direct_song_search_no_auto_match,10,8,1,title_not_matched;artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|donnie mcclurkin|stand:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|donnie mcclurkin|stand,graph_song,song,Donnie McClurkin,Stand,1996,us,direct_song_search_no_auto_match,10,65,2,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|doug sahm and band|is anybody goin to san antone:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|doug sahm and band|is anybody goin to san antone,graph_song,song,Doug Sahm and Band,Is Anybody Goin' to San Antone,1973,us,direct_song_search_no_auto_match,10,40,3,title_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|dovers|what am i going to do:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|dovers|what am i going to do,graph_song,song,The Dovers,What Am I Going to Do,1965,us,direct_song_search_no_auto_match,10,8,1,title_not_matched;artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|dr dre|dre day:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|dr dre|dre day,graph_song,song,Dr. Dre,Dre Day,1992,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_needs_review_version_risk,,false
graph_song:song|dwight twilley band|girls:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|dwight twilley band|girls,graph_song,song,Dwight Twilley Band,Girls,1984,us,direct_song_search_no_auto_match,10,44,1,title_not_matched,apple_song_search_no_auto_match,,false
