deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,best_result_rank,best_reject_reason,prior_review_reason,prior_best_reject_reason,error_message,raw_payload_persisted
graph_song:song|ckay|love nwantiti:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|ckay|love nwantiti,graph_song,song,CKay,Love Nwantiti,2019,us,direct_song_hardening_v2_no_auto_match,10,82,1,title_not_strong_enough,apple_song_search_needs_review_version_risk,,,false
graph_song:song|comsat angels|independence day:direct_song_hardening_v2_no_results,apple_music_direct_song_hardening_pass_v2,song|comsat angels|independence day,graph_song,song,The Comsat Angels,Independence Day,1980,us,direct_song_hardening_v2_no_results,0,,,,apple_song_search_no_results,,,false
graph_song:song|cookies|don t say nothin bad:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|cookies|don t say nothin bad,graph_song,song,The Cookies,Don't Say Nothin' Bad,1963,us,direct_song_hardening_v2_no_auto_match,10,70,1,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|crystal waters|gypsy woman she s homeless:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|crystal waters|gypsy woman she s homeless,graph_song,song,Crystal Waters,Gypsy Woman (She's Homeless),1991,us,direct_song_hardening_v2_no_auto_match,10,82,1,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|curve|coast is clear:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|curve|coast is clear,graph_song,song,Curve,Coast Is Clear,1991,us,direct_song_hardening_v2_no_auto_match,10,68,3,artist_not_matched,apple_song_search_no_auto_match,artist_not_matched,,false
graph_song:song|curve|horror head:direct_song_hardening_v2_no_results,apple_music_direct_song_hardening_pass_v2,song|curve|horror head,graph_song,song,Curve,Horror Head,1992,us,direct_song_hardening_v2_no_results,0,,,,apple_song_search_no_results,,,false
graph_song:song|d o a|fucked up ronnie:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|d o a|fucked up ronnie,graph_song,song,D.O.A.,Fucked Up Ronnie,1981,us,direct_song_hardening_v2_no_auto_match,10,54,1,title_not_matched,apple_song_search_needs_review_version_risk,title_not_matched,,false
graph_song:song|daily flash|jack of diamonds:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|daily flash|jack of diamonds,graph_song,song,The Daily Flash,Jack of Diamonds,1966,us,direct_song_hardening_v2_no_auto_match,10,12,1,title_not_matched,apple_song_search_needs_review_version_risk,title_not_matched;artist_not_matched,,false
graph_song:song|dakhabrakha|sho z pod duba:direct_song_hardening_v2_no_results,apple_music_direct_song_hardening_pass_v2,song|dakhabrakha|sho z pod duba,graph_song,song,DakhaBrakha,Sho Z-Pod Duba,2007,us,direct_song_hardening_v2_no_results,0,,,,apple_song_search_no_results,,,false
graph_song:song|dbx|losing control:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|dbx|losing control,graph_song,song,DBX,Losing Control,1994,us,direct_song_hardening_v2_no_auto_match,10,73,2,title_not_strong_enough,apple_song_search_needs_review_version_risk,,,false
