deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,apple_artist_id,artist_id_source,candidate_count,best_score,best_candidate_id,best_candidate_title,best_candidate_variant,error_message,prior_review_reason,raw_payload_persisted
graph_album:album|dna|a taste of dna:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|dna|a taste of dna,graph_album,album,DNA,A Taste of DNA,1981,us,artist_album_resolver_no_safe_album_match,1479748299,apple_artist_search_ephemeral,0,,,,,,apple_album_search_no_auto_match,false
graph_album:album|duke ellington|ellington at newport:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|duke ellington|ellington at newport,graph_album,album,Duke Ellington,Ellington at Newport,1956,us,artist_album_resolver_no_safe_album_match,39525,existing_graph_artist_link,17,75,999653079,Ellington At Newport 1956 (Complete) [Live],,,apple_album_search_no_auto_match,false
graph_album:album|eevee|seeds:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|eevee|seeds,graph_album,album,eevee,Seeds,2017,us,artist_album_resolver_no_safe_album_match,1201274894,existing_graph_artist_link,6,7,1820295172,nocturne melancholy dream - Remix - Single,,,apple_album_search_no_results,false
graph_album:album|el p|fantastic damage:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|el p|fantastic damage,graph_album,album,El-P,Fantastic Damage,2002,us,artist_album_resolver_no_safe_album_match,1439616538,apple_artist_search_ephemeral,0,,,,,,apple_album_search_no_auto_match,false
graph_album:album|fania all stars|live at the cheetah vol 1:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|fania all stars|live at the cheetah vol 1,graph_album,album,Fania All-Stars,"Live at the Cheetah, Vol. 1",1972,us,artist_album_resolver_no_safe_album_match,273552433,apple_artist_search_ephemeral,8,69,1481517285,"Live At The Cheetah, Vol. 1 (Live)",,,apple_album_search_no_auto_match,false
graph_album:album|fats domino|this is fats domino:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|fats domino|this is fats domino,graph_album,album,Fats Domino,This Is Fats Domino!,1956,us,artist_album_resolver_no_safe_album_match,637059,existing_graph_artist_link,2,52,1396311078,Fats Domino Swings,,,apple_album_search_no_auto_match,false
graph_album:album|flatlanders|more a legend than a band:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|flatlanders|more a legend than a band,graph_album,album,The Flatlanders,More a Legend Than a Band,1990,us,artist_album_resolver_no_safe_album_match,5154840,apple_artist_search_ephemeral,0,,,,,,apple_album_search_no_results,false
graph_album:album|frank zappa|lumpy gravy:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|frank zappa|lumpy gravy,graph_album,album,Frank Zappa,Lumpy Gravy,1968,us,artist_album_resolver_no_safe_album_match,458712,apple_artist_search_ephemeral,5,40,1562897106,Hot Rats,,,apple_album_search_no_auto_match,false
graph_album:album|fugs|it crawled into my hand honest:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|fugs|it crawled into my hand honest,graph_album,album,The Fugs,"It Crawled Into My Hand, Honest",1968,us,artist_album_resolver_no_safe_album_match,5625744,existing_graph_artist_link,3,35,1439276930,First Album,,,apple_album_search_no_results,false
graph_album:album|funkadelic|one nation under a groove:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|funkadelic|one nation under a groove,graph_album,album,Funkadelic,One Nation Under a Groove,1978,us,artist_album_resolver_no_safe_album_match,32181103,apple_artist_search_ephemeral,3,40,1595227717,Let's Take It To the Stage,,,apple_album_search_no_auto_match,false
graph_album:album|garth brooks|no fences:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|garth brooks|no fences,graph_album,album,Garth Brooks,No Fences,1990,us,artist_album_resolver_no_safe_album_match,329451,existing_graph_artist_link,0,,,,,,apple_album_search_no_auto_match,false
graph_album:album|garth brooks|ropin the wind:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|garth brooks|ropin the wind,graph_album,album,Garth Brooks,Ropin' the Wind,1991,us,artist_album_resolver_no_safe_album_match,329451,existing_graph_artist_link,0,,,,,,apple_album_search_no_auto_match,false
graph_album:album|gene vincent|bluejean bop:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|gene vincent|bluejean bop,graph_album,album,Gene Vincent,Bluejean Bop!,1958,us,artist_album_resolver_no_safe_album_match,531519,existing_graph_artist_link,5,78,1443088443,Blue Jean Bop,,,apple_album_search_no_auto_match,false
graph_album:album|gene vincent|gene vincent and his blue caps:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|gene vincent|gene vincent and his blue caps,graph_album,album,Gene Vincent,Gene Vincent and His Blue Caps,1957,us,artist_album_resolver_no_safe_album_match,531519,existing_graph_artist_link,6,47,1443088443,Blue Jean Bop,,,apple_album_search_no_auto_match,false
graph_album:album|genesis|foxtrot:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|genesis|foxtrot,graph_album,album,Genesis,Foxtrot,1972,us,artist_album_resolver_no_safe_album_match,95966,existing_graph_artist_link,8,45,294810249,Selling England By the Pound (2007 Stereo Mix),,,apple_album_search_no_auto_match,false
graph_album:album|genesis|selling england by the pound:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|genesis|selling england by the pound,graph_album,album,Genesis,Selling England by the Pound,1973,us,artist_album_resolver_no_safe_album_match,95966,existing_graph_artist_link,10,73,294810249,Selling England By the Pound (2007 Stereo Mix),,,apple_album_search_no_auto_match,false
graph_album:album|hanoi rocks|two steps from the move:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|hanoi rocks|two steps from the move,graph_album,album,Hanoi Rocks,Two Steps from the Move,1984,us,artist_album_resolver_no_safe_album_match,1168156,existing_graph_artist_link,7,40,1471136041,Oriental Beat,,,apple_album_search_no_results,false
graph_album:album|harptones|life is but a dream:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|harptones|life is but a dream,graph_album,album,The Harptones,Life Is But a Dream,1990,us,artist_album_resolver_no_safe_album_match,63772007,existing_graph_artist_link,2,77,1491664837,Life is but a Dream,,,apple_album_search_no_auto_match,false
graph_album:album|idle race|birthday party:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|idle race|birthday party,graph_album,album,The Idle Race,The Birthday Party,1968,us,artist_album_resolver_no_safe_album_match,250199413,apple_artist_search_ephemeral,0,,,,,,apple_album_search_no_results,false
graph_album:album|jackie wilson|mr excitement:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|jackie wilson|mr excitement,graph_album,album,Jackie Wilson,Mr. Excitement!,1962,us,artist_album_resolver_no_safe_album_match,267843,existing_graph_artist_link,11,32,406066594,Lonely Tear Drops (Remastered),,,apple_album_search_no_auto_match,false
graph_album:album|jeff mills|waveform transmission vol 1:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|jeff mills|waveform transmission vol 1,graph_album,album,Jeff Mills,Waveform Transmission Vol. 1,1992,us,artist_album_resolver_no_safe_album_match,5207761,existing_graph_artist_link,1,35,1860112728,Jeff Mills at The Liquid Room (DJ Mix),,,apple_album_search_no_results,false
