deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,best_candidate_id,best_candidate_title,best_candidate_artist,best_candidate_basis,best_track_overlap_ratio,error_message,prior_review_reason,prior_best_candidate_id,raw_payload_persisted
graph_album:album|misfits|walk among us:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|misfits|walk among us,graph_album,album,Misfits,Walk Among Us,1982,us,high_confidence_album_no_safe_match,24,63,724516759,Collection,The Misfits,,0.385,,apple_album_search_no_auto_match,714724772,false
graph_album:album|moby grape|moby grape:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|moby grape|moby grape,graph_album,album,Moby Grape,Moby Grape,1967,us,high_confidence_album_no_safe_match,9,89,266203734,Moby Grape (Bonus Track Version),Moby Grape,,0.077,,apple_album_search_no_auto_match,267031218,false
graph_album:album|monks|black monk time:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|monks|black monk time,graph_album,album,The Monks,Black Monk Time,1966,us,high_confidence_album_no_safe_match,9,82,1790512830,The Early Years 1964 - 1965,The Monks,,0.500,,apple_album_search_no_auto_match,,false
graph_album:album|motorhead|no sleep til hammersmith:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|motorhead|no sleep til hammersmith,graph_album,album,Motorhead,No Sleep 'til Hammersmith,1981,us,high_confidence_album_no_safe_match,5,99,1614257261,No Sleep 'Til Hammersmith (Live),Motörhead,,0.000,,apple_album_search_no_auto_match,1439442940,false
graph_album:album|move|move:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|move|move,graph_album,album,The Move,The Move,1968,us,high_confidence_album_no_safe_match,10,48,1443068636,Shazam,The Move,,0.000,,apple_album_search_no_auto_match,1443068636,false
graph_album:album|my bloody valentine|loveless:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|my bloody valentine|loveless,graph_album,album,My Bloody Valentine,Loveless,1991,us,high_confidence_album_no_safe_match,25,160,275176576,Loveless,Japancakes,,1.000,,apple_album_search_no_auto_match,1567655929,false
graph_album:album|neil diamond|hot august night:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|neil diamond|hot august night,graph_album,album,Neil Diamond,Hot August Night,1972,us,high_confidence_album_no_safe_match,38,91,1440898019,Hot August Night II (Recorded Live in Concert),Neil Diamond,,0.300,,apple_album_search_no_auto_match,1443288776,false
graph_album:album|nirvana uk|story of simon simopath:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|nirvana uk|story of simon simopath,graph_album,album,Nirvana (UK),The Story of Simon Simopath,1967,us,high_confidence_album_no_safe_match,0,,,,,,,,apple_album_search_no_results,,false
graph_album:album|odetta|odetta at carnegie hall:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|odetta|odetta at carnegie hall,graph_album,album,Odetta,Odetta at Carnegie Hall,1960,us,high_confidence_album_no_safe_match,43,53,157342118,At Carnegie Hall (Live),The Dave Brubeck Quartet,,0.000,,apple_album_search_no_auto_match,787565085,false
graph_album:album|original broadway cast of gypsy|gypsy:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|original broadway cast of gypsy|gypsy,graph_album,album,Original Broadway Cast of Gypsy,Gypsy,1959,us,high_confidence_album_no_safe_match,92,108,164925460,Gypsy (Original 1959 Broadway Cast Recording),"Jule Styne & Stephen Sondheim, Ethel Merman, Sandra Church & Jack Klugman",,0.000,,apple_album_search_no_auto_match,,false
